"","AwayTeam","HomeTeam","diff","conf_tourn","non_neutral","year"
"1","WilliamMary","Florida",23,FALSE,1,2014
"2","VaCommonwealth","Tennessee",-16,FALSE,1,2014
"3","Minnesota","Louisville",13,FALSE,1,2014
"4","Cornell","GeorgeMason",-8,FALSE,1,2014
"5","Virginia","JamesMadison",-28,FALSE,1,2014
"6","Georgia","GeorgiaTech",7,FALSE,1,2014
"7","FlaAtlantic","Elon",6,FALSE,1,2014
"8","Oakland","IowaSt",11,FALSE,1,2014
"9","GeorgiaSouthern","Illinois",9,FALSE,1,2014
"10","CalSantaBarb","Kansas",10,FALSE,1,2014
"11","UTArlington","Bradley",-11,FALSE,1,2014
"12","Drexel","Colorado",17,FALSE,1,2014
"13","Towson","Alabama",28,FALSE,1,2014
"14","LongBeachSt","BYU",5,FALSE,1,2014
"15","WashingtonSt","UTEP",13,FALSE,1,2014
"16","BallSt","Utah",18,FALSE,1,2014
"17","CSNorthridge","SanDiegoSt",21,FALSE,1,2014
"18","WiscMilwaukee","Auburn",10,FALSE,1,2014
"19","IllinoisChicago","Depaul",1,FALSE,1,2014
"20","CSFullerton","SantaClara",17,FALSE,1,2014
"21","FresnoSt","Pepperdine",15,FALSE,1,2014
"22","Rice","OregonSt",13,FALSE,1,2014
"23","VMI","TheCitadel",-1,FALSE,0,2014
"24","AirForce","Army",6,FALSE,1,2014
"25","BoiseSt","SanDiego",-6,FALSE,0,2014
"26","SEMissouriSt","LoyolaMarymount",10,FALSE,0,2014
"27","Yale","Quinnipiac",3,FALSE,1,2014
"28","WesternCarolina","MississippiSt",10,FALSE,1,2014
"29","Belmont","WrightSt",3,FALSE,1,2014
"30","Rider","Princeton",6,FALSE,1,2014
"31","ClevelandSt","Iona",5,FALSE,1,2014
"32","JacksonvilleSt","Marshall",19,FALSE,1,2014
"33","Niagara","Pittsburgh",33,FALSE,1,2014
"34","Monmouth","WestVirginia",10,FALSE,1,2014
"35","Samford","Purdue",40,FALSE,1,2014
"36","Siena","Massachusetts",8,FALSE,1,2014
"37","NorthernArizona","Xavier",33,FALSE,1,2014
"38","SouthDakotaSt","Buffalo",2,FALSE,1,2014
