"","AwayTeam","HomeTeam","diff","conf_tourn","non_neutral","year"
"1","Oakland","MiamiFlorida",13,FALSE,0,2014
"2","Princeton","Pittsburgh",-16,FALSE,0,2014
"3","NJIT","NewHampshire",5,FALSE,0,2014
"4","MountStMarys","Maryland",64,FALSE,0,2014
"5","KentStTuscarawas","EasternMichigan",87,FALSE,0,2014
"6","Iona","Fordham",-21,FALSE,0,2014
"7","Marshall","RhodeIsland",-16,FALSE,0,2014
"8","LoyolaMarymount","OklahomaSt",11,FALSE,0,2014
"9","BostonU","Northeastern",1,FALSE,0,2014
"10","NCGreensboro","Clemson",29,FALSE,0,2014
"11","WilliamCarey","SouthernMiss",53,FALSE,0,2014
"12","NichollsSt","Arkansas",11,FALSE,0,2014
"13","Grambling","Mississippi",25,FALSE,0,2014
"14","GeorgiaSouthern","Lipscomb",6,FALSE,0,2014
"15","Towson","PennSt",7,FALSE,0,2014
"16","EasternU","UMBC",25,FALSE,0,2014
"17","ArkansasLR","LSU",-16,FALSE,0,2014
"18","UCLA","JamesMadison",4,FALSE,0,2014
"19","KentSt","NorthDakotaSt",6,FALSE,0,2014
"20","CSStanislaus","Pacific",31,FALSE,0,2014
"21","EastCarolina","Fairfield",-15,FALSE,0,2014
"22","Seattle","LongBeachSt",12,FALSE,0,2014
"23","Jacksonville","Florida",11,FALSE,0,2014
"24","DelawareSt","NorthernKentucky",21,FALSE,0,2014
"25","Howard","NorthCarolina",34,FALSE,0,2014
"26","Providence","Richmond",16,FALSE,0,2014
"27","IPFW","Illinois",7,FALSE,0,2014
"28","UTRioGrandeValley","NewMexico",-2,FALSE,0,2014
"29","LaSalle","Temple",3,FALSE,0,2014
"30","NCPembroke","Coastal Carolina",16,FALSE,0,2014
"31","VirginiaTech","GeorgeMason",8,FALSE,0,2014
"32","Idaho","CSNorthridge",17,FALSE,0,2014
"33","Louisville","IUPUI",-20,FALSE,0,2014
"34","BethuneCookman","Stetson",30,FALSE,0,2014
"35","Allen","SoCarolinaSt",48,FALSE,0,2014
"36","MoreheadSt","NorfolkSt",-17,FALSE,0,2014
"37","CentralConnecticut","Hofstra",-5,FALSE,0,2014
"38","Butler","Valparaiso",34,FALSE,0,2014
"39","MissouriValleySt","TexasArlington",58,FALSE,0,2014
"40","GeorgiaTech","LoyolaChicago",-35,FALSE,0,2014
"41","Davidson","Furman",7,FALSE,0,2014
"42","WestAlabama","NewOrleans",-12,FALSE,0,2014
"43","UMassLowell","NotreDame",54,FALSE,0,2014
"44","Ohio","MurraySt",-51,FALSE,0,2014
"45","Binghamton","Akron",31,FALSE,0,2014
"46","SIUEdwardsville","KansasSt",26,FALSE,0,2014
"47","EasternWashington","UtahValley",-6,FALSE,0,2014
"48","Stillman","AlabamaSt",9,FALSE,0,2014
"49","FloridaAM","Alabama",16,FALSE,0,2014
"50","Presbyterian","OldDominion",15,FALSE,0,2014
"51","StJosephs","Rutgers",24,FALSE,0,2014
"52","USCUpSt","Iowa",51,FALSE,0,2014
"53","PrairieViewAM","Rice",12,FALSE,0,2014
"54","NoColorado","SMU",-13,FALSE,0,2014
"55","Purdue","BallSt",-6,FALSE,0,2014
"56","FairDickinson","Manhattan",-19,FALSE,0,2014
"57","IllinoisSt","NoIllinois",4,FALSE,0,2014
"58","ColumbiaCollege","SavannahSt",46,FALSE,0,2014
"59","TexasAMCorpus","UNLV",12,FALSE,0,2014
"60","WrightSt","AustinPeay",-12,FALSE,0,2014
"61","TennesseeSt","NCSt",29,FALSE,0,2014
"62","DetroitU","Michigan",19,FALSE,0,2014
"63","Troy","Auburn",17,FALSE,0,2014
"64","Toledo","ClevelandSt",10,FALSE,0,2014
"65","MorganSt","Georgia",32,FALSE,0,2014
"66","OhioSt","Virginia",5,FALSE,0,2014
"67","StFrancisNY","AlbanyNY",43,FALSE,0,2014
"68","MiddleTennSt","ArizonaSt",14,FALSE,0,2014
"69","Wagner","VaCommonwealth",9,FALSE,0,2014
"70","Delaware","Lafayette",11,FALSE,0,2014
"71","LoyolaMaryland","WilliamMary",1,FALSE,0,2014
"72","AppalachianSt","Kentucky",37,FALSE,0,2014
"73","Maine","Bryant",13,FALSE,0,2014
"74","SaintLouis","IndianaSt",3,FALSE,0,2014
"75","Villanova","Chattanooga",4,FALSE,0,2014
"76","AlabamaAM","SEMissouriSt",28,FALSE,0,2014
"77","SoIllinois","TennesseeMartin",-9,FALSE,0,2014
"78","LeTourneau","NorthwesternSt",43,FALSE,0,2014
"79","NewMexicoSt","UTEP",5,FALSE,0,2014
"80","TexasAM","Depaul",-8,FALSE,0,2014
"81","CalIrvine","NorthernArizona",31,FALSE,0,2014
"82","LouisianaCollege","McNeeseSt",22,FALSE,0,2014
"83","Houston","NorthTexas",-4,FALSE,0,2014
"84","NorthernIowa","Tulsa",-3,FALSE,0,2014
"85","SELouisiana","Minnesota",49,FALSE,0,2014
"86","CentralArkansas","WesternKentucky",36,FALSE,0,2014
"87","MississippiValleySt","Tulane",40,FALSE,0,2014
"88","SantaClara","CalRiverside",11,FALSE,0,2014
"89","HoustonBaptist","TCU",23,FALSE,0,2014
"90","Bradley","IllinoisChicago",28,FALSE,0,2014
"91","Washington","Oklahoma",10,FALSE,0,2014
"92","SouthDakota","Drake",-5,FALSE,0,2014
"93","Northwestern","ChicagoSt",-54,FALSE,0,2014
"94","BostonCollege","Stanford",33,FALSE,0,2014
"95","Massachusetts","WesternMichigan",22,FALSE,0,2014
"96","Hawaii","ColoradoSt",-5,FALSE,0,2014
"97","Mercer","MississippiSt",31,FALSE,0,2014
"98","MontanaSt","BoiseSt",15,FALSE,0,2014
"99","BYU","SouthDakotaSt",10,FALSE,0,2014
"100","Columbia","SanFrancisco",5,FALSE,0,2014
"101","Niagara","YoungstownSt",22,FALSE,0,2014
"102","Pepperdine","Nebraska",35,FALSE,0,2014
"103","Marshall","Fairfield",-13,FALSE,0,2014
"104","DelawareSt","Binghamton",6,FALSE,0,2014
"105","StJohnsNY","Yale",-11,FALSE,0,2014
"106","Brown","Vermont",-5,FALSE,0,2014
"107","Colgate","Harvard",15,FALSE,0,2014
"108","ArkansasPineBluff","Cincinnati",16,FALSE,0,2014
"109","Brevard","HighPoint",7,FALSE,0,2014
"110","TexasAMInternational","TexasSt",18,FALSE,0,2014
"111","WiscGreenBay","Marquette",-28,FALSE,0,2014
"112","GardnerWebb","Indiana",61,FALSE,0,2014
"113","WilliamCarey","ULMonroe",33,FALSE,0,2014
"114","UMKC","EasternIllinois",-16,FALSE,0,2014
"115","AlcornSt","NebraskaOmaha",20,FALSE,0,2014
"116","TexasSanAntonio","Texas",20,FALSE,0,2014
"117","Creighton","WichitaSt",9,FALSE,0,2014
"118","NorthernKentucky","Akron",33,FALSE,0,2014
"119","NewMexico","TexasAM",14,FALSE,0,2014
"120","StPeters","StonyBrook",16,FALSE,0,2014
"121","GeorgiaSt","NorthFlorida",-13,FALSE,0,2014
"122","LouisianaTech","StephenFAustin",-7,FALSE,0,2014
"123","NorthDakota","Colorado",9,FALSE,0,2014
"124","Marygrove","DetroitU",42,FALSE,0,2014
"125","MDEastShore","VirginiaTech",22,FALSE,0,2014
"126","LongIsland","Maine",6,FALSE,0,2014
"127","IndianaSt","Butler",-15,FALSE,0,2014
"128","USCUpSt","IowaSt",22,FALSE,0,2014
"129","Manhattan","HolyCross",-6,FALSE,0,2014
"130","SacredHeart","Iona",-2,FALSE,0,2014
"131","StBonaventure","JamesMadison",33,FALSE,0,2014
"132","Pfeiffer","Coastal Carolina",7,FALSE,0,2014
"133","NCGreensboro","CollCharleston",-2,FALSE,0,2014
"134","SavannahSt","Arkansas",29,FALSE,0,2014
"135","Cornell","Drexel",9,FALSE,0,2014
"136","Marist","Delaware",10,FALSE,0,2014
"137","AustinPeay","Evansville",4,FALSE,0,2014
"138","UCLA","NorthCarolina",16,FALSE,0,2014
"139","NJIT","Dartmouth",5,FALSE,0,2014
"140","EasternMichigan","MichiganSt",8,FALSE,0,2014
"141","MorganSt","GeorgiaTech",29,FALSE,0,2014
"142","StFrancisPA","OhioSt",16,FALSE,0,2014
"143","Troy","Clemson",9,FALSE,0,2014
"144","CoppinSt","NCSt",20,FALSE,0,2014
"145","WiscMilwaukee","NorthDakotaSt",-4,FALSE,0,2014
"146","RobertMorris","Iowa",18,FALSE,0,2014
"147","Hawaii","DenverU",-2,FALSE,0,2014
"148","UTRioGrandeValley","TexasAM",2,FALSE,0,2014
"149","FlaAtlantic","BethuneCookman",-20,FALSE,0,2014
