"","x"
"1",0.930658388074292
"2",1
"3",1
"4",1
"5",1
"6",0
"7",0
"8",0
"9",0
"10",0
"11",1
"12",0
"13",0
"14",1
"15",1
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",1
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0.876564820708678
"30",0
"31",0
"32",0.0128300898601602
"33",0.0187281088453719
"34",0.37452634832737
"35",0.709677692345485
"36",0.379827867389494
"37",0
"38",0.0194128770728911
"39",0
"40",0.00464303276246726
"41",0
"42",0
"43",0
"44",0.00540215620753924
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0.00554640257157743
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0.000552582798067614
"63",0
"64",1
"65",0.0017232631851338
"66",0
"67",0.734298748143433
"68",0.0797112680875466
"69",1
"70",0
"71",0
"72",0.542147983806609
"73",0
"74",0.24218387008969
"75",0
"76",0
"77",0
"78",0.184032582151609
"79",0
"80",0
"81",0
"82",0
"83",0.258449400085341
"84",0
"85",0.0409869284201321
"86",0.234134525038534
"87",0.0705854218973005
"88",0
"89",0.0397797099185668
"90",0.000503098622499539
"91",0
"92",0
"93",0.568729502769504
"94",0.621121910791412
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0.459074789391628
"101",0.301685945928502
"102",0
"103",0
"104",0
"105",0
"106",0.161255998173712
"107",0
"108",0.433031198388917
"109",0
"110",0.566651107950448
"111",0
"112",1
"113",0
"114",0
"115",1
"116",0
"117",0
"118",1
"119",0.123435179291322
"120",0.0685470809593984
"121",0.788847417418633
"122",0
"123",0.265701251856567
"124",0
"125",0
"126",0.00709444345593737
"127",0
"128",0
"129",0
"130",0
"131",0.0349235660456257
"132",0
"133",0.293890510815538
"134",0.0380472634462525
"135",0
"136",0.00747560969591292
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0.0873933004895608
"152",0.389073292862766
"153",0.197007198142641
"154",0.0154551009982705
"155",0
"156",0
"157",0.466065686202095
"158",0
"159",0
"160",0.068772769775329
"161",0
"162",0
"163",0
"164",0
"165",0.120321670813752
"166",0
"167",0.647517504774029
"168",0
"169",0
"170",0.162303837559615
"171",0
"172",0
"173",0
"174",0.285520248976049
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",1
"186",0.113941628274104
"187",0
"188",0.0172505696561452
"189",0.0191083432726537
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0.284277855628026
"196",0
"197",0
"198",0
"199",0.0959095215969422
"200",0
"201",0
"202",0.0546884364771276
"203",0.00574611017738598
"204",0
"205",0
"206",0.150947123193888
"207",0
"208",0.249944863736338
"209",0
"210",0
"211",0.32992987335853
"212",0.458522946156215
"213",0
"214",0
"215",0.0532055757423273
"216",0.00501905583494084
"217",0.554767392317826
"218",0
"219",0
"220",0
"221",0
"222",0.352482495225971
"223",0
"224",0
"225",0
"226",0.00320973730800702
"227",0
"228",0.0539462385915612
"229",0
"230",0.136052764111106
"231",0
"232",0
"233",0
"234",0
"235",0.174768326687261
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0.113603694058773
"245",0
"246",0.142483546246837
"247",0
"248",0.00295910441694917
"249",0.214319311749079
"250",0.0310413398014884
"251",0.0141379043890743
"252",0.131041338225125
"253",0
"254",0
"255",1.23490717353025e-05
"256",0.121605050573243
"257",0
"258",0
"259",0
"260",0
"261",0.244021328386112
"262",0.123803093873126
"263",0.00800263490959736
"264",0
"265",0
"266",0.0754615944248463
"267",0
"268",0
"269",0.19708919766169
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0.153254093090349
"277",0
"278",0
"279",0
"280",0
"281",0.0673306692186203
"282",0
"283",0
"284",0
"285",0.0439274993472848
"286",0
"287",0
"288",0
"289",0
"290",0.001266100299664
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0.000781770100770403
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0.0184560085719518
"306",0
"307",0
"308",0.015529500214535
"309",0
"310",0.136113121470906
"311",0
"312",0
"313",0
"314",0.0179282473221549
"315",5.37360047549815e-08
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0.0650981578251555
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0.00116388028536674
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
