SeenTeams,ChangeName
AbileneChristian,AbileneChristian
AcademyofArt,AcademyofArt
AdamsSt,AdamsSt
Adelphi,Adelphi
AgnesScott,AgnesScott
AirForce,AirForce
Akron,Akron
Alabama,Alabama
AlabamaA&M,AlabamaAM
AlabamaAM,AlabamaAM
AlabamaHuntsville,AlabamaHuntsville
AlaHuntsville,AlabamaHuntsville
AlabamaMobile,AlabamaMobile
Mobile,AlabamaMobile
AlabamaSt,AlabamaSt
AlabamaState,AlabamaSt
AlasAnchorage,AlaskaAnchorage
AlaskaAnchorage,AlaskaAnchorage
Albany,AlbanyNY
AlbanyNY,AlbanyNY
AlbertusMagnus,AlbertusMagnus
Alcorn,AlcornSt
AlcornSt,AlcornSt
AlcornState,AlcornSt
AldersonBroaddus,AldersonBroaddus
AliceLloyd,AliceLloyd
Allen,Allen
American,American
Anderson,Anderson
AndersonSC,Anderson
AngeloSt,AngeloSt
AntelopeValley,AntelopeValley
AppalachianSt,AppalachianSt
AppalachianState,AppalachianSt
AppState,AppalachianSt
AppSt,AppalachianSt
Arizona,Arizona
ArizonaChristian,ArizonaChristian
ArizonaSt,ArizonaSt
ArizonaState,ArizonaSt
Arkansas,Arkansas
ArkansasLittleRock,ArkansasLR
ArkansasLR,ArkansasLR
LittleRock,ArkansasLR
UALR,ArkansasLR
ArkansasMonticello,ArkansasMonticello
ArkMonticello,ArkansasMonticello
ArkansasPineBluff,ArkansasPineBluff
ArkPineBluff,ArkansasPineBluff
ArkansasSt,ArkansasSt
ArkansasState,ArkansasSt
ArkansasTech,ArkansasTech
ArkBaptist,ArkBaptist
ArlingtonBaptist,ArlingtonBaptist
Armstrong,Armstrong
Army,Army
ArmyWestPoint,Army
Asbury,Asbury
Ashford,Ashford
Auburn,Auburn
AubMontgomery,AuburnMontgomery
AuburnMontgomery,AuburnMontgomery
AUM,AuburnMontgomery
AustinPeay,AustinPeay
AveMaria,AveMaria
AzusaPacific,AzusaPacific
Baker,Baker
BallSt,BallSt
BallState,BallSt
Barton,Barton
Baylor,Baylor
Bellarmine,Bellarmine
Belmont,Belmont
BelmontAbbey,BelmontAbbey
Berry,Berry
Bethany,Bethany
BethanyKS,Bethany
Bethel,Bethel
BethelTenn,Bethel
BethelTN,Bethel
BethesdaCA,BethesdaCA
BethuneCookman,BethuneCookman
Binghamton,Binghamton
Biola,Biola
Blackburn,Blackburn
BluefieldCol,BluefieldCollege
BluefieldCollege,BluefieldCollege
BluefieldSt,BluefieldSt
BluefieldState,BluefieldSt
BlueMountain,BlueMountain
BlueMountainMS,BlueMountain
BobJones,BobJones
Z_DoNotUse_BobJones,BobJones
BoiseSt,BoiseSt
BoiseState,BoiseSt
BostonCollege,BostonCollege
BostonU,BostonU
BowieSt,BowieSt
BowlingGreen,BowlingGreen
Bradley,Bradley
Brescia,Brescia
Brevard,Brevard
BrewtonParker,BrewtonParker
BriarCliffIA,BriarCliffIA
Bridgeport,Bridgeport
Bristol,Bristol
Brown,Brown
Bryant,Bryant
BrynAthyn,BrynAthyn
Bucknell,Bucknell
Buffalo,Buffalo
Bushnell,Bushnell
Butler,Butler
BYU,BYU
BYUHawaii,BYUHawaii
CalBaptist,CalBaptist
Caldwell,Caldwell
California,California
CaliforniaBaptist,CaliforniaBaptist
CalLutheran,CaliforniaLutheran
CaliforniaLutheran,CaliforniaLutheran
CalIrvine,CalIrvine
UCIrvine,CalIrvine
CalPoly,CalPolySLO
CalPolySLO,CalPolySLO
CalRiverside,CalRiverside
UCRiverside,CalRiverside
CalSantaBarb,CalSantaBarb
CalSantaBarbara,CalSantaBarb
UCSantaBarb,CalSantaBarb
UCSantaBarbara,CalSantaBarb
CalSantaCruz,CalSantaCruz
UCSantaCruz,CalSantaCruz
Cameron,Cameron
Campbell,Campbell
CampHarrodsburg,CampHarrodsburg
Canisius,Canisius
CardinalStritch,CardinalStritch
Carroll,Carroll
CarrollMont,Carroll
CarrollMT,Carroll
Carver,Carver
Catawba,Catawba
CedarCrest,CedarCrest
Cedarville,Cedarville
CentChristianKS,CentChristianKS
CentenaryLA,CentenaryLA
CentralArk,CentralArkansas
CentralArkansas,CentralArkansas
CentralBaptist,CentralBaptist
CentConnSt,CentralConnecticut
CentralConn,CentralConnecticut
CentralConnecticut,CentralConnecticut
CentralConnSt,CentralConnecticut
CentralFlorida,CentralFlorida
UCF,CentralFlorida
CentralMethodist,CentralMethodist
CentralMich,CentralMichigan
CentralMichigan,CentralMichigan
CentralPenn,CentralPenn
CentralSt,CentralSt
CentralState,CentralSt
CentralWash,CentralWashington
CentralWashington,CentralWashington
ChadronSt,ChadronSt
ChadronState,ChadronSt
Chaminade,Chaminade
ChampionChristian,ChampionChristian
ChampionChris,ChampionChristian
Chapman,Chapman
CharlestonSo,CharlestonSou
CharlestonSou,CharlestonSou
Charlotte,CharlotteU
CharlotteU,CharlotteU
Chattanooga,Chattanooga
TennesseeChat,Chattanooga
ChestnutHill,ChestnutHill
Cheyney,Cheyney
ChicagoSt,ChicagoSt
ChicagoState,ChicagoSt
Chowan,Chowan
ChristianBros,ChristianBros
ChristianBrothers,ChristianBros
Cincinnati,Cincinnati
CincinnatiChristian,CincinnatiChristian
Claflin,Claflin
